match_date,home_team_name,away_team_name,home_team_score,away_team_score,year,home_rank,home_score,away_rank,away_score,home_n_participation,away_n_participation,home_winner,draw,away_winner,rank_diff,team_score_diff,score_diff,best_rank_winner
1938-06-12,Sweden,Cuba,8,0,1938,25.0,1654.0,43.0,1517.0,1,0,1,0,0,-18.0,8,137.0,1
1938-06-14,Brazil,Czechoslovakia,2,1,1938,7.0,1936.0,10.0,1860.0,2,1,1,0,0,-3.0,1,76.0,1
1938-06-16,Hungary,Sweden,5,1,1938,5.0,1940.0,25.0,1654.0,1,1,1,0,0,-20.0,4,286.0,1
1938-06-16,Italy,Brazil,2,1,1938,1.0,2124.0,7.0,1936.0,1,2,1,0,0,-6.0,1,188.0,1
1938-06-19,Brazil,Sweden,4,2,1938,7.0,1936.0,25.0,1654.0,2,1,1,0,0,-18.0,2,282.0,1
1938-06-19,Italy,Hungary,4,2,1938,1.0,2124.0,5.0,1940.0,1,1,1,0,0,-4.0,2,184.0,1
1950-06-24,Brazil,Mexico,4,0,1950,2.0,2014.0,22.0,1717.0,3,1,1,0,0,-20.0,4,297.0,1
1950-06-25,Yugoslavia,Switzerland,3,0,1950,10.0,1881.0,16.0,1755.0,1,2,1,0,0,-6.0,3,126.0,1
1950-06-25,England,Chile,2,0,1950,3.0,1991.0,29.0,1638.0,0,1,1,0,0,-26.0,2,353.0,1
1950-06-25,Spain,United States,3,1,1950,12.0,1868.0,44.0,1556.0,1,2,1,0,0,-32.0,2,312.0,1
1950-06-25,Sweden,Italy,3,2,1950,7.0,1935.0,4.0,1976.0,2,2,1,0,0,3.0,1,-41.0,0
1950-06-28,Brazil,Switzerland,2,2,1950,2.0,2014.0,16.0,1755.0,3,2,0,1,0,-14.0,0,259.0,0
1950-06-28,Yugoslavia,Mexico,4,1,1950,10.0,1881.0,22.0,1717.0,1,1,1,0,0,-12.0,3,164.0,1
1950-06-29,Spain,Chile,2,0,1950,12.0,1868.0,29.0,1638.0,1,1,1,0,0,-17.0,2,230.0,1
1950-06-29,United States,England,1,0,1950,44.0,1556.0,3.0,1991.0,2,0,1,0,0,41.0,1,-435.0,0
1950-06-29,Sweden,Paraguay,2,2,1950,7.0,1935.0,13.0,1848.0,2,1,0,1,0,-6.0,0,87.0,0
1950-07-01,Brazil,Yugoslavia,2,0,1950,2.0,2014.0,10.0,1881.0,3,1,1,0,0,-8.0,2,133.0,1
1950-07-02,Chile,United States,5,2,1950,29.0,1638.0,44.0,1556.0,1,2,1,0,0,-15.0,3,82.0,1
1950-07-02,Spain,England,1,0,1950,12.0,1868.0,3.0,1991.0,1,0,1,0,0,9.0,1,-123.0,0
1950-07-02,Italy,Paraguay,2,0,1950,4.0,1976.0,13.0,1848.0,2,1,1,0,0,-9.0,2,128.0,1
1950-07-02,Uruguay,Bolivia,8,0,1950,11.0,1874.0,64.0,1424.0,1,1,1,0,0,-53.0,8,450.0,1
1950-07-02,Switzerland,Mexico,2,1,1950,16.0,1755.0,22.0,1717.0,2,1,1,0,0,-6.0,1,38.0,1
1950-07-09,Brazil,Sweden,7,1,1950,2.0,2014.0,7.0,1935.0,3,2,1,0,0,-5.0,6,79.0,1
1950-07-09,Uruguay,Spain,2,2,1950,11.0,1874.0,12.0,1868.0,1,1,0,1,0,-1.0,0,6.0,0
1950-07-13,Brazil,Spain,6,1,1950,2.0,2014.0,12.0,1868.0,3,1,1,0,0,-10.0,5,146.0,1
1950-07-13,Uruguay,Sweden,3,2,1950,11.0,1874.0,7.0,1935.0,1,2,1,0,0,4.0,1,-61.0,0
1950-07-16,Sweden,Spain,3,1,1950,7.0,1935.0,12.0,1868.0,2,1,1,0,0,-5.0,2,67.0,1
1950-07-16,Uruguay,Brazil,2,1,1950,11.0,1874.0,2.0,2014.0,1,3,1,0,0,9.0,1,-140.0,0
1954-06-16,Brazil,Mexico,5,0,1954,4.0,2010.0,27.0,1655.0,4,2,1,0,0,-23.0,5,355.0,1
1954-06-16,Yugoslavia,France,1,0,1954,8.0,1937.0,13.0,1802.0,2,3,1,0,0,-5.0,1,135.0,1
1954-06-16,Austria,Scotland,1,0,1954,6.0,1946.0,13.0,1802.0,1,0,1,0,0,-7.0,1,144.0,1
