year,home_rank,home_score,away_rank,away_score,home_n_participation,away_n_participation,rank_diff,score_diff,participation_diff,target
1954,7.0,1940.0,13.0,1802.0,2,0,-6.0,138.0,2,1
1954,4.0,2010.0,8.0,1937.0,4,2,-4.0,73.0,2,0
1954,6.0,1946.0,24.0,1684.0,1,2,-18.0,262.0,-1,1
1954,13.0,1802.0,27.0,1655.0,3,2,-14.0,147.0,1,1
1954,1.0,2192.0,3.0,2037.0,2,0,-2.0,155.0,2,1
1954,30.0,1653.0,45.0,1587.0,0,0,-15.0,66.0,0,1
1954,10.0,1848.0,15.0,1780.0,3,3,-5.0,68.0,0,1
1954,5.0,1997.0,20.0,1722.0,1,3,-15.0,275.0,-2,1
1954,3.0,2037.0,30.0,1653.0,0,0,-27.0,384.0,0,1
1954,20.0,1722.0,10.0,1848.0,3,3,10.0,-126.0,0,1
1954,6.0,1946.0,20.0,1722.0,1,3,-14.0,224.0,-2,1
1954,7.0,1940.0,5.0,1997.0,2,1,2.0,-57.0,1,1
1954,1.0,2192.0,4.0,2010.0,2,4,-3.0,182.0,-2,1
1954,3.0,2037.0,8.0,1937.0,0,2,-5.0,100.0,-2,1
1954,1.0,2192.0,7.0,1940.0,2,2,-6.0,252.0,0,1
1954,3.0,2037.0,6.0,1946.0,0,1,-3.0,91.0,-1,1
1954,6.0,1946.0,7.0,1940.0,1,2,-1.0,6.0,-1,1
1954,3.0,2037.0,1.0,2192.0,0,2,2.0,-155.0,-2,1
1958,8.0,1901.0,28.0,1719.0,3,3,-20.0,182.0,0,1
1958,6.0,1920.0,11.0,1866.0,2,1,-5.0,54.0,1,-1
1958,20.0,1773.0,12.0,1860.0,0,3,8.0,-87.0,-3,1
1958,4.0,1936.0,21.0,1762.0,4,2,-17.0,174.0,2,1
1958,9.0,1898.0,16.0,1805.0,3,1,-7.0,93.0,2,0
1958,2.0,1968.0,22.0,1759.0,3,0,-20.0,209.0,3,0
1958,1.0,2140.0,14.0,1819.0,5,2,-13.0,321.0,3,1
1958,5.0,1923.0,3.0,1946.0,0,2,2.0,-23.0,-2,0
1958,6.0,1920.0,20.0,1773.0,2,0,-14.0,147.0,2,1
1958,11.0,1866.0,12.0,1860.0,1,3,-1.0,6.0,-2,0
1958,21.0,1762.0,16.0,1805.0,2,1,5.0,-43.0,1,1
1958,9.0,1898.0,4.0,1936.0,3,4,5.0,-38.0,-1,1
1958,28.0,1719.0,22.0,1759.0,3,0,6.0,-40.0,3,0
1958,1.0,2140.0,3.0,1946.0,5,2,-2.0,194.0,3,0
1958,5.0,1923.0,14.0,1819.0,0,2,-9.0,104.0,-2,1
1958,8.0,1901.0,2.0,1968.0,3,3,6.0,-67.0,0,1
1958,8.0,1901.0,22.0,1759.0,3,0,-14.0,142.0,3,0
1958,12.0,1860.0,6.0,1920.0,3,2,6.0,-60.0,1,1
1958,11.0,1866.0,20.0,1773.0,1,0,-9.0,93.0,1,0
1958,4.0,1936.0,16.0,1805.0,4,1,-12.0,131.0,3,1
1958,21.0,1762.0,9.0,1898.0,2,3,12.0,-136.0,-1,0
1958,2.0,1968.0,28.0,1719.0,3,3,-26.0,249.0,0,1
1958,1.0,2140.0,5.0,1923.0,5,0,-4.0,217.0,5,1
1958,3.0,1946.0,14.0,1819.0,2,2,-11.0,127.0,0,0
1958,20.0,1773.0,12.0,1860.0,0,3,8.0,-87.0,-3,1
1958,22.0,1759.0,2.0,1968.0,0,3,20.0,-209.0,-3,1
1958,5.0,1923.0,3.0,1946.0,0,2,2.0,-23.0,-2,1
1958,1.0,2140.0,22.0,1759.0,5,0,-21.0,381.0,5,1
1958,4.0,1936.0,20.0,1773.0,4,0,-16.0,163.0,4,1
1958,8.0,1901.0,5.0,1923.0,3,0,3.0,-22.0,3,1
1958,11.0,1866.0,9.0,1898.0,1,3,2.0,-32.0,-2,1
1958,1.0,2140.0,4.0,1936.0,5,4,-3.0,204.0,1,1
1958,8.0,1901.0,11.0,1866.0,3,1,-3.0,35.0,2,1
1958,4.0,1936.0,11.0,1866.0,4,1,-7.0,70.0,3,1
1958,1.0,2140.0,8.0,1901.0,5,3,-7.0,239.0,2,1
1962,14.0,1857.0,81.0,1459.0,3,0,-67.0,398.0,3,1
1962,17.0,1825.0,44.0,1612.0,2,4,-27.0,213.0,-2,1
1962,1.0,2193.0,16.0,1845.0,6,4,-15.0,348.0,2,1
1962,5.0,1959.0,23.0,1732.0,3,0,-18.0,227.0,3,1
1962,2.0,2018.0,7.0,1931.0,1,4,-5.0,87.0,-3,1
1962,6.0,1935.0,11.0,1893.0,2,4,-5.0,42.0,-2,0
1962,4.0,1969.0,10.0,1894.0,4,2,-6.0,75.0,2,1
1962,3.0,1990.0,8.0,1928.0,4,3,-5.0,62.0,1,1
1962,7.0,1931.0,14.0,1857.0,4,3,-7.0,74.0,1,1
1962,17.0,1825.0,11.0,1893.0,2,4,6.0,-68.0,-2,1
1962,1.0,2193.0,4.0,1969.0,6,4,-3.0,224.0,2,0
1962,8.0,1928.0,5.0,1959.0,3,3,3.0,-31.0,0,1
1962,2.0,2018.0,81.0,1459.0,1,0,-79.0,559.0,1,0
1962,6.0,1935.0,44.0,1612.0,2,4,-38.0,323.0,-2,1
1962,10.0,1894.0,16.0,1845.0,2,4,-6.0,49.0,-2,1
1962,3.0,1990.0,23.0,1732.0,4,0,-20.0,258.0,4,1
1962,2.0,2018.0,14.0,1857.0,1,3,-12.0,161.0,-2,1
1962,6.0,1935.0,17.0,1825.0,2,2,-11.0,110.0,0,1
1962,1.0,2193.0,10.0,1894.0,6,2,-9.0,299.0,4,1
1962,3.0,1990.0,5.0,1959.0,4,3,-2.0,31.0,1,0
1962,7.0,1931.0,81.0,1459.0,4,0,-74.0,472.0,4,1
1962,11.0,1893.0,44.0,1612.0,4,4,-33.0,281.0,0,1
1962,16.0,1845.0,4.0,1969.0,4,4,12.0,-124.0,0,1
1962,8.0,1928.0,23.0,1732.0,3,0,-15.0,196.0,3,0
1962,1.0,2193.0,8.0,1928.0,6,3,-7.0,265.0,3,1
1962,17.0,1825.0,2.0,2018.0,2,1,15.0,-193.0,1,1
1962,4.0,1969.0,3.0,1990.0,4,4,1.0,-21.0,0,1
1962,7.0,1931.0,6.0,1935.0,4,2,1.0,-4.0,2,1
1962,1.0,2193.0,17.0,1825.0,6,2,-16.0,368.0,4,1
1962,4.0,1969.0,7.0,1931.0,4,4,-3.0,38.0,0,1
1962,17.0,1825.0,7.0,1931.0,2,4,10.0,-106.0,-2,1
1962,1.0,2193.0,4.0,1969.0,6,4,-3.0,224.0,2,1
1966,1.0,2088.0,13.0,1846.0,4,4,-12.0,242.0,0,0
1966,2.0,2042.0,44.0,1602.0,3,5,-42.0,440.0,-2,1
1966,8.0,1918.0,23.0,1750.0,7,1,-15.0,168.0,6,1
1966,5.0,1975.0,15.0,1828.0,2,0,-10.0,147.0,2,1
1966,28.0,1737.0,14.0,1841.0,5,5,14.0,-104.0,0,0
1966,4.0,1982.0,10.0,1865.0,4,3,-6.0,117.0,1,1
1966,3.0,1986.0,6.0,1957.0,0,5,-3.0,29.0,-5,1
1966,7.0,1948.0,29.0,1724.0,5,3,-22.0,224.0,2,1
1966,13.0,1846.0,28.0,1737.0,4,5,-15.0,109.0,-1,1
1966,10.0,1865.0,44.0,1602.0,3,5,-34.0,263.0,-2,1
1966,6.0,1957.0,8.0,1918.0,5,7,-2.0,39.0,-2,1
1966,29.0,1724.0,15.0,1828.0,3,0,14.0,-104.0,3,0
1966,4.0,1982.0,2.0,2042.0,4,3,2.0,-60.0,1,0
1966,3.0,1986.0,23.0,1750.0,0,1,-20.0,236.0,-1,1
1966,5.0,1975.0,7.0,1948.0,2,5,-2.0,27.0,-3,1
1966,1.0,2088.0,14.0,1841.0,4,5,-13.0,247.0,-1,1
1966,14.0,1841.0,13.0,1846.0,5,4,1.0,-5.0,1,0
1966,4.0,1982.0,44.0,1602.0,4,5,-40.0,380.0,-1,1
1966,3.0,1986.0,8.0,1918.0,0,7,-5.0,68.0,-7,1
1966,15.0,1828.0,7.0,1948.0,0,5,8.0,-120.0,-5,1
1966,1.0,2088.0,28.0,1737.0,4,5,-27.0,351.0,-1,1
1966,2.0,2042.0,10.0,1865.0,3,3,-8.0,177.0,0,1
1966,6.0,1957.0,23.0,1750.0,5,1,-17.0,207.0,4,1
1966,5.0,1975.0,29.0,1724.0,2,3,-24.0,251.0,-1,1
1966,1.0,2088.0,4.0,1982.0,4,4,-3.0,106.0,0,1
1966,3.0,1986.0,15.0,1828.0,0,0,-12.0,158.0,0,1
1966,5.0,1975.0,6.0,1957.0,2,5,-1.0,18.0,-3,1
1966,2.0,2042.0,13.0,1846.0,3,4,-11.0,196.0,-1,1
1966,2.0,2042.0,5.0,1975.0,3,2,-3.0,67.0,1,1
1966,1.0,2088.0,3.0,1986.0,4,0,-2.0,102.0,4,1
1966,3.0,1986.0,5.0,1975.0,0,2,-2.0,11.0,-2,1
1966,1.0,2088.0,2.0,2042.0,4,3,-1.0,46.0,1,1
1970,29.0,1730.0,5.0,1962.0,6,3,24.0,-232.0,3,0
